Assay	Biosample	Index_Experiment	Index_Process	Index_File	File_Type	Output_Type	isogenic_replicate	Genome	File_Summary	Lab
ATAC	K562	ENCSR868FGK	ENCODE4 v1.9.1 GRCh38 (ENCAN824UKX)	ENCFF357GNC	bigWig	signal p-value	"1, 2, 3"	hg38	call-macs2_signal_track_pooled/rep.pooled.pval.signal.bigwig	"Michael Snyder, Stanford"
ATAC	K562	ENCSR868FGK	ENCODE4 v1.9.1 GRCh38 (ENCAN824UKX)	ENCFF333TAT	bed narrowPeak	pseudoreplicated peaks	"1, 2, 3"	hg38	call-overlap_ppr/pooled-pr1_vs_pooled-pr2.overlap.bfilt.narrowPeak.gz	"Michael Snyder, Stanford"
ATAC	K562	ENCSR868FGK	ENCODE4 v1.9.1 GRCh38 (ENCAN824UKX)	ENCFF948AFM	bed narrowPeak	IDR thresholded peaks	"1, 2, 3"	hg38	call-idr_ppr/pooled-pr1_vs_pooled-pr2.idr0.05.bfilt.narrowPeak.gz	"Michael Snyder, Stanford"
ATAC	K562	ENCSR483RKN	ENCODE4 v1.9.1 GRCh38 (ENCAN217QUL)	ENCFF600FDO	bigWig	signal p-value	"1, 2"	hg38	call-macs2_signal_track_pooled/rep.pooled.pval.signal.bigwig	"Michael Snyder, Stanford"
ATAC	K562	ENCSR483RKN	ENCODE4 v1.9.1 GRCh38 (ENCAN217QUL)	ENCFF558BLC	bed narrowPeak	pseudoreplicated peaks	"1, 2"	hg38	call-overlap_ppr/pooled-pr1_vs_pooled-pr2.overlap.bfilt.narrowPeak.gz	"Michael Snyder, Stanford"
ATAC	K562	ENCSR483RKN	ENCODE4 v1.9.1 GRCh38 (ENCAN217QUL)	ENCFF925CYR	bed narrowPeak	IDR thresholded peaks	"1, 2"	hg38	call-idr_ppr/pooled-pr1_vs_pooled-pr2.idr0.05.bfilt.narrowPeak.gz	"Michael Snyder, Stanford"
DNase	K562	ENCSR000EKS	ENCODE4 v3.0.0 GRCh38 (ENCAN694OCK)	ENCFF972GVB	bigWig	read-depth normalized signal	1	hg38	call-starch_to_bigwig/normalized.nuclear.0.05.density.bw	"Gregory Crawford, Duke"
DNase	K562	ENCSR000EKS	ENCODE4 v3.0.0 GRCh38 (ENCAN694OCK)	ENCFF274YGF	bed narrowPeak	peaks	1	hg38	call-compress/nuclear.0.001.peaks.narrowpeaks.bed.gz	"Gregory Crawford, Duke"
DNase	K562	ENCSR000EOT	ENCODE4 v3.0.0-alpha.2 GRCh38 (ENCAN780RWD)	ENCFF414OGC	bigWig	read-depth normalized signal	1	hg38	call-starch_to_bigwig/normalized.nuclear.0.05.density.bw	"John Stamatoyannopoulos, UW"
DNase	K562	ENCSR000EOT	ENCODE4 v3.0.0-alpha.2 GRCh38 (ENCAN780RWD)	ENCFF185XRG	"bed narrowPeak	"	peaks	1	hg38	call-compress/nuclear.0.001.peaks.narrowpeaks.bed.gz	"John Stamatoyannopoulos, UW"
