pathway	pval	padj	log2err	ES	NES	size	nlogP	Assay
CTCF	1e-50	1e-50	NA	0.2662526436236782	1.2849426464610676	37780	50	ASTARR
SP1	1e-50	1e-50	NA	0.4052435287639057	1.9484360507446163	9048	50	ASTARR
NRF1	1e-50	1e-50	NA	0.45745099553231733	2.2041182344229777	22194	50	ASTARR
POLR2A	1e-50	1e-50	NA	0.4943616117475572	2.3808478081192095	17945	50	ASTARR
REST	1e-50	1e-50	NA	0.5260943992544483	2.534822654011436	14306	50	ASTARR
YY1	1e-50	1e-50	NA	0.5434323877944117	2.6181035514705924	20494	50	ASTARR
KLF16	1e-50	1e-50	NA	0.551534255649357	2.6565549679510005	15344	50	ASTARR
ATF1	1e-50	1e-50	NA	0.5637904128958326	2.717397509441547	24776	50	ASTARR
TAL1	1e-50	1e-50	NA	0.5695589802179418	2.7440997357121115	22430	50	ASTARR
ZEB2	1e-50	1e-50	NA	0.5921647607519511	2.851991024169465	16954	50	ASTARR
KLF10	1e-50	1e-50	NA	0.6305915678353494	2.916719739246422	650	50	ASTARR
GATA1	1e-50	1e-50	NA	0.6094212891268541	2.93367442453806	11815	50	ASTARR
ELK1	1e-50	1e-50	NA	0.6448511679246545	3.0748046116843435	3149	50	ASTARR
NFE2	1e-50	1e-50	NA	0.6423745579958577	3.0954135099566034	14986	50	ASTARR
JUN	1e-50	1e-50	NA	0.6504075347576894	3.1321484358248735	16287	50	ASTARR
EP300	1e-50	1e-50	NA	0.6525838204804204	3.1440524033563872	22333	50	ASTARR
CTCF	1e-50	1e-50	NA	0.2953420424480648	1.7218994896039679	37776	50	WSTARR
TAL1	1e-50	1e-50	NA	0.3901922321634238	2.272028946130915	22428	50	WSTARR
GATA1	1e-50	1e-50	NA	0.4332523625679423	2.507799443936258	11815	50	WSTARR
KLF16	1e-50	1e-50	NA	0.44004004402847036	2.553711454809929	15342	50	WSTARR
NFE2	1e-50	1e-50	NA	0.49079120430608436	2.847510144843664	14984	50	WSTARR
REST	1e-50	1e-50	NA	0.5475691738528005	3.175676530623813	14305	50	WSTARR
ZEB2	1e-50	1e-50	NA	0.548034179600523	3.184016451830759	16954	50	WSTARR
KLF10	1e-50	1e-50	NA	0.616388509227483	3.229104119977001	650	50	WSTARR
EP300	1e-50	1e-50	NA	0.57330224586738	3.338537506057975	22332	50	WSTARR
POLR2A	1e-50	1e-50	NA	0.6653852007468983	3.8702982833379025	17941	50	WSTARR
JUN	1e-50	1e-50	NA	0.677945955518269	3.9372835969447952	16286	50	WSTARR
NRF1	1e-50	1e-50	NA	0.6767480168751769	3.941147477259063	22193	50	WSTARR
ATF1	1e-50	1e-50	NA	0.6794474484605524	3.9568990379483746	24773	50	WSTARR
YY1	1e-50	1e-50	NA	0.6954349970174457	4.0478218765898735	20494	50	WSTARR
SP1	1e-50	1e-50	NA	0.7526610444519716	4.350795636284757	9048	50	WSTARR
ELK1	1e-50	1e-50	NA	0.7862738526748677	4.450151206154132	3149	50	WSTARR
KLF10	0.004218191035064242	0.004218191035064242	0.40701791892395395	0.7834404623096952	1.6419667346129945	7	2.374873755654964	TMPRA
CTCF	9.107916926496027e-14	1.8215833852992054e-13	0.9545416307257243	0.5522196964110331	1.7911610432377636	271	12.739550943584053	TMPRA
TAL1	4.335534901420819e-12	5.336042955594855e-12	0.8870749883998732	0.5767444733438079	1.8622454814509262	180	11.272780682970307	TMPRA
NFE2	1.6938672163524525e-9	1.8067916974426159e-9	0.7881868108002371	0.6088406418209735	1.943452863559942	102	8.743091913773219	TMPRA
ZEB2	3.6168582633220705e-13	5.786973221315313e-13	0.932595211336209	0.6171183582886968	1.9811742912593222	139	12.237548527289452	TMPRA
GATA1	3.8065036821572486e-10	4.3502899224654266e-10	0.8140358378479079	0.6245244365354111	1.982181890913216	91	9.361481798785325	TMPRA
KLF16	5.129219334910068e-13	6.838959113213424e-13	0.9214260034948982	0.6281755173000183	2.011458524044358	126	12.165009992693184	TMPRA
REST	4.4694946436432e-13	6.501083118026473e-13	0.932595211336209	0.638585847932578	2.041736438199478	122	12.187014281357923	TMPRA
EP300	5.696814088093666e-19	1.3021289344214093e-18	1.1239149637448316	0.6371770960869643	2.05737587946444	180	17.885346010594734	TMPRA
JUN	4.896378101043371e-22	1.3057008269448989e-21	1.2125445676906186	0.6914780732799931	2.2177566024035817	138	20.88415632083358	TMPRA
POLR2A	1.5342084844713157e-29	6.136833937885263e-29	1.4099514303344767	0.6972674444643209	2.2538509127125357	189	28.212055628522464	TMPRA
ATF1	1.4830256668903427e-42	1.1864205335122742e-41	1.6965862230962836	0.735908019072081	2.3790909423219753	216	40.925761345531676	TMPRA
YY1	2.3035263247107855e-38	1.2285473731790855e-37	1.6153022889297488	0.7522399048135997	2.428943127636479	174	36.91060809232709	TMPRA
SP1	1.2130992000502469e-23	3.88191744016079e-23	1.2627398854791587	0.7760157228738646	2.451475816131848	88	22.410953705337114	TMPRA
NRF1	4.340584633007904e-46	6.944935412812647e-45	1.7683043267175176	0.7595451045563048	2.45534110888344	200	44.158331788801746	TMPRA
ELK1	1.4566028533603819e-13	2.58951618375179e-13	0.9436322252328375	0.8842534102212554	2.464346748010525	25	12.586781370418578	TMPRA
